pres_nm,facil_sn,brno,voucher,FCLTY_NM,FCLTY_TY_NM,CTPRVN_NM,CTPRVN_CD,FULL_ADDR,RSPNSBLTY_TEL_NO
이윤주,1,3012430403,True,라온플로우요가,요가,충북,43,충청북도 청주시 흥덕구 사운로 2652층 플로우요가(운천동),0432636316
한학진,16665,4169147547,True,라이언스포츠,태권도,전남,46,전라남도 순천시 운동1길 28(조례동),0617240059
박재형,1,5549501588,True,라이프태권도장,태권도,경기,41,경기도 안양시 만안구 병목안로 1253층(안양동),
고훈,8760,4169110598,True,라이프태권스쿨,태권도,전남,46,전남 순천시 해룡면 상삼리642-10번지,
이동민,1,1439003402,True,무적태권도장,태권도,경기,41,"경기도 화성시 봉담읍 동화길 93-293-2, 6층 603호",0312277921
김근혜,26037,6319700051,True,라인무용학원,발레,경기,41,경기도 안성시 공도읍 공도4로 3우성메디컬프라자206호 라인무용학원,
장근석,1,1259704187,True,동탄sk나이츠농구교실,농구,경기,41,경기도 화성시 동탄영천로 81-5골든프라자 5층 SK나이츠농구교실(영천동),
박남희,1,5099200856,True,동탄경희대태권도,태권도,경기,41,"경기도 화성시 동탄순환대로20길 45단지내상가 207,208,209호 동탄경희대태권도(목동, 동탄 금강펜테리움 센트럴파크Ⅳ)",
조성남,1,8020202484,True,두드림탁구클럽,탁구,경기,41,경기도 동두천시 중앙로 1167층 703호(지행동),
이종재,8602,1249273575,True,동탄센트럴검도관,검도,경기,41,경기 화성시 반송동43-6 골드프라자 5층 503호,
명신협,1,4360602441,True,동탄여울주짓수,기타종목,경기,41,"경기도 화성시 동탄감배산로 143203동 224,225호(오산동, 동탄역 유림노르웨이숲)",
윤현하,1,3819000410,True,동탄천하태권도장,태권도,경기,41,"경기도 화성시 동탄지성로 143에버스타 501,502호 천하태권도(능동)",
송성훈,17660,2229071595,True,동해검도관,검도,강원,51,강원도 동해시 천곡로 50(천곡동)4층,0335353040
정구현,3624,2219041026,True,두미르체육관,태권도,강원,51,,
박준태,2135,5149055534,True,동호태권도,태권도,대구,27,,
황세령,23196,6099506544,True,동화체육관,태권도,경남,48,경상남도 창원시 진해구 웅동로 72남명프라자 상가 503호(마천동),
이우열,1,1083251779,True,여유필라테스,필라테스,광주,29,광주광역시 서구 화정로 1561층 여유필라테스(화정동),07047926530
김정섭,2203,5049505411,True,동화태권도체육관,태권도,대구,27,대구시 북구 관음동1383-10 4층,
김미경외1명,1,5879601585,True,두나미스축구클럽,축구,서울,11,서울특별시 동작구 여의대방로22길 132동화빌딩 지하1층 두나미스축구클럽(신대방동),
유선미,1,1219321487,True,용인대석사SKY태권도장,태권도,인천,28,인천광역시 미추홀구 독배로 383자이타워  4층 409.410.411(용현동),
장영삼,157,4049062209,True,두란노태권도장,태권도,전북,52,전북정읍시시기동490-1,
한국희,24088,6161386986,True,두드림축구아카데미,축구,제주,50,제주특별자치도 제주시 은수길 251층(연동),
이성계,1,2089107041,True,두드림태권도장,태권도,광주,29,"광주광역시 광산구 임방울대로 727-5상가동 지하층 101호(월계동, 첨단과학산업기지 라인3차아파트)",
문병준,20049,4094606820,True,두레헬스,헬스,광주,29,광주광역시 북구 매곡로 40-1두레스파랜드 6층 두레헬스클럽(매곡동),
