main_event_cd,city_nm,main_event_nm,city_cd,pres_nm,faci_daddr,row_num,facil_nm,facil_sn,road_addr,local_nm,faci_zip,local_cd,brno,facil_gbn_nm,res_telno,voucher
75,광주,합기도,29,김용희,2층(중흥동),16998,오성설악체육관,17072,광주광역시 북구 향토문화로 26,북구,61211,29170,4090689034,강좌,0625222829,True
22,경기,태권도,41,배유철,동일하이빌 아파트 상가 3층 304호 용인대 백호 태권도(중동),16999,용인대백호태권도,1,경기도 용인시 기흥구 동백중앙로 310,용인시,17004,41460,1429007477,강좌,0316939778,True
22,경기,태권도,41,임광택,"삼부르네상스 아파트 상가 2층(덕풍동, 삼부르네상스)",17000,드림코리아,23892,경기도 하남시 덕풍북로 140,하남시,12928,41450,6329600227,강좌,0317949122,True
78,강원,요가,51,권익선,Spine 자연치유 요가센터(명륜동),17001,Spine 자연치유 요가센터,1,강원특별자치도 원주시 남원로527번길 22,원주시,26480,51130,2240885163,강좌,0337642355,True
25,강원,헬스,51,박종곤,4층,17002,WON GYM(원짐) 헬스클럽,1,강원도 철원군 동송읍 금학로 213,철원군,24014,51780,4421001406,강좌,0334553998,True
76,경남,복싱,48,천용환,2층 석산파워복싱,17003,석산파워복싱,1,경상남도 양산시 동면 금오10길 5-25,양산시,50639,48330,1979801479,강좌,0553811361,True
22,대구,태권도,27,안은상,"평리롯데캐슬상가 202동 201호 청출어람태권도(평리동, 평리롯데캐슬)",17004,청출어람태권도,1,대구광역시 서구 국채보상로 316,서구,41814,27170,1469701493,강좌,0535663100,True
22,광주,태권도,29,김범주,"상가1동 201호(산정동, 산정 셀트리움)",17005,키짱태권도,1,광주광역시 광산구 목련로 42,광산구,62340,29200,3079406369,강좌,0624109996,True
17,서울,유도,11,정옥희,B1층 용인대서대문체육관(북가좌동),17006,용인대서대문체육관,1,서울특별시 서대문구 거북골로 170,서대문구,3690,11410,6639601273,강좌,0260151119,True
78,경남,요가,48,서민숙,"오렌지타운 3층 306호(외동, 한국2차아파트)",17007,서민숙요가센타,23382,경상남도 김해시 함박로 102,김해시,50957,48250,6151895736,강좌,,True
25,전북,헬스,52,김은경,4층 401(부송동),17008,몸짱휘트니스,1,전라북도 익산시 무왕로26길 19,익산시,54558,52140,4031575932,강좌,0638519696,True
